"name","id"
"Ohio Players","0296f604-a399-4516-91ed-711d6a150d84"
"Eramus Hall","089e71a2-5d91-4d0d-bbf1-742bacdad36d"
"C.J. & CO.","0e1666c0-2b6d-4bc5-9c37-cd56e50b1878"
"Junnie Morrison","221e6215-41bd-4b15-88e7-d63d20d7f7aa"
"George Clinton","57953e67-9d4f-47e5-95c4-43a7a30f171c"
"Funkadelic","63a05e24-0a82-4699-b28e-525fc7a50b2b"
"Teegarden & Van Winkle","76bd1b2e-2855-46ab-b8fb-3313799ff882"
"King Errisson","7b08eca0-2915-4e0c-afff-cdafb84d91e4"
"Detroit Emeralds","7b8c3727-7a31-4acf-b1f2-bb4817c842af"
"The Counts","8ce2903b-d5d0-42df-8ec1-752049c101b9"
"Fantastic Four","935018fa-af22-4e15-92a0-9cb3008a375e"
"Eminem","a38ec1fc-0adb-4b2c-8b28-ee2681b2189e"
"Silver Hawk","a52bcfde-41d2-4481-8dfb-65aa1a67eabf"
"Denise LaSalle","b7f6c3f8-eebf-44ae-9766-814a3d778940"
"Dennis Coffey","bc32a2e6-c551-4f17-acd9-e40e00c99b76"
"The Dennis Coffey Band","c980e970-ef15-45d8-8613-e5902c49a4c3"
"The Mike Theodore Orchestra","d0a4e748-8aed-4414-959c-36f13353c1fe"
"Fuzzy Haskins","df1bcfcf-d637-4d93-9a72-dfc8dd39e232"